Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1986","1986","tonnes","13311100","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1987","1987","tonnes","11957000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1988","1988","tonnes","11753900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1989","1989","tonnes","13690300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1990","1990","tonnes","12856900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1991","1991","tonnes","14265000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1992","1992","tonnes","12013400","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1993","1993","tonnes","12366200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1994","1994","tonnes","13305000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1995","1995","tonnes","14902800","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1996","1996","tonnes","13216700","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1997","1997","tonnes","14117800","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1998","1998","tonnes","13004500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","1999","1999","tonnes","15137600","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","2000","2000","tonnes","13712800","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1726","Pulses, Total","2001","2001","tonnes","12176500","E","Estimated value"
