Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1961","1961","tonnes","8520593","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1962","1962","tonnes","11216997","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1963","1963","tonnes","8813949","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1964","1964","tonnes","9421512","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1965","1965","tonnes","9452270","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1966","1966","tonnes","7018353","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1967","1967","tonnes","7019972","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1968","1968","tonnes","6222812","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1969","1969","tonnes","6024923","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1970","1970","tonnes","6926062","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1971","1971","tonnes","6481687","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1972","1972","tonnes","6026714","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1973","1973","tonnes","6332322","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1974","1974","tonnes","6226933","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1975","1975","tonnes","6225480","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1976","1976","tonnes","6379716","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1977","1977","tonnes","6039377","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1978","1978","tonnes","6509526","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1979","1979","tonnes","6739592","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1980","1980","tonnes","6752443","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1981","1981","tonnes","6450879","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1982","1982","tonnes","6349023","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1983","1983","tonnes","6019141","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1984","1984","tonnes","6361122","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1985","1985","tonnes","5530639","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1986","1986","tonnes","5423278","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1987","1987","tonnes","5375771","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1988","1988","tonnes","6070742","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1989","1989","tonnes","4817811","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1990","1990","tonnes","6136720","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1991","1991","tonnes","3709328","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1992","1992","tonnes","3222071","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1993","1993","tonnes","4224282","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1994","1994","tonnes","4969643","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1995","1995","tonnes","4478976","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1996","1996","tonnes","4680735","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1997","1997","tonnes","4036210","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1998","1998","tonnes","4864697","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","1999","1999","tonnes","4704352","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","2000","2000","tonnes","4696498","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1726","Pulses, Total","2001","2001","tonnes","5127540","E","Estimated value"
